Key,Practice,Area,Knowledge,Data_Munging,Data_Ingestion,Visualisation,Statistics,Machine_Learning,Text_Mining,Big_Data,Python,R,Hadoop
28,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
29,Analytics,Data Munging,2.Limited knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
30,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge
31,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
32,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
33,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
34,Customer Experience,Data Munging,2.Limited knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge
35,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
36,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge
37,Analytics,Data Munging,3.Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
38,Analytics,Data Munging,3.Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,4 - Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
39,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
40,Analytics,Data Munging,2.Limited knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge
41,Analytics,Data Munging,2.Limited knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge
42,Analytics,Data Ingestion,2.Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge,5 - Extensive knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
43,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
44,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
45,Analytics,Data Ingestion,3.Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge
46,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
47,Analytics,Data Ingestion,4.Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
48,Analytics,Data Ingestion,2.Limited knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
49,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge
50,Analytics,Data Ingestion,3.Moderate knowledge,1 - No knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
51,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
52,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
53,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
54,Customer Experience,Data Ingestion,3.Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,2 - Limited knowledge
55,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
56,Analytics,Data Ingestion,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge
57,Analytics,Data Ingestion,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
58,Analytics,Data Ingestion,2.Limited knowledge,2 - Limited knowledge ,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
59,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
60,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
61,Analytics,Data Ingestion,4.Substantial knowledge,1 - No knowledge ,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge
62,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
63,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
64,Analytics,Data Ingestion,4.Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,5 - Extensive knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge
65,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
66,Customer Experience,Data Ingestion,3.Moderate knowledge,1 - No knowledge ,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
67,Customer Experience,Data Ingestion,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
68,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
69,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
70,Analytics,Data Ingestion,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
71,Analytics,Data Ingestion,3.Moderate knowledge,1 - No knowledge ,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge
72,Customer Experience,Data Ingestion,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
73,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
74,Customer Experience,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
75,Customer Experience,Data Ingestion,2.Limited knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge
76,Analytics,Data Ingestion,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
77,Analytics,Data Ingestion,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge
78,Analytics,Data Ingestion,2.Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
79,Analytics,Data Ingestion,3.Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,4 - Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
80,Analytics,Data Ingestion,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
81,Analytics,Data Ingestion,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge
82,Analytics,Data Ingestion,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge
83,Analytics,Visualisation,5.Extensive knowledge,4 - Substantial knowledge,2 - Limited knowledge,5 - Extensive knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
84,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
85,Analytics,Visualisation,4.Substantial knowledge,1 - No knowledge ,1 - No knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
86,Analytics,Visualisation,4.Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge
87,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
88,Analytics,Visualisation,3.Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
89,Analytics,Visualisation,3.Moderate knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
90,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge
91,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
92,Analytics,Visualisation,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
93,Customer Experience,Visualisation,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
94,Customer Experience,Visualisation,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
95,Customer Experience,Visualisation,3.Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,2 - Limited knowledge
96,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
97,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge
98,Analytics,Visualisation,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
99,Analytics,Visualisation,4.Substantial knowledge,2 - Limited knowledge ,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
100,Customer Experience,Visualisation,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
101,Customer Experience,Visualisation,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
102,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge
103,Customer Experience,Visualisation,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
104,Customer Experience,Visualisation,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
105,Analytics,Visualisation,4.Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,5 - Extensive knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge
106,Analytics,Visualisation,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
107,Customer Experience,Visualisation,2.Limited knowledge,1 - No knowledge ,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
