ag_key,estate,property,shares,property_risk,shares_risk,threshold,margin,risk_percent
41,144678,291342,61872,0.618935821,0.291443626,325000,0,0.05
42,299659,216681,50578,0.116950725,0.050102811,325000,0,0.05
43,160735,62215,169595,2.640279675,0.096857219,325000,0,0.05
44,119708,24577,20096,8.35301298,1.021556529,325000,0,0.05
45,69424,254361,1848,1.004776676,13.82987013,325000,0,0.05
46,223762,284785,175279,0.355489229,0.057758203,325000,0,0.05
47,5368,107375,199469,2.976782305,0.160241441,325000,0,0.05
48,307496,46202,114808,0.378858058,0.015246324,325000,0,0.05
49,284399,207322,69812,0.195835464,0.058157623,325000,0,0.05
50,4013,221220,188997,1.450985444,0.169837087,325000,0,0.05
51,99055,1550,140121,145.7709677,0.16124992,325000,0,0.05
52,283533,241756,90492,0.171524181,0.04582394,325000,0,0.05
53,140898,120374,56791,1.529416651,0.324174605,325000,0,0.05
54,70817,75737,14055,3.356127124,1.808488083,325000,0,0.05
55,102652,131693,121758,1.688381311,0.182614695,325000,0,0.05
56,232963,267325,90273,0.344288787,0.101954073,325000,0,0.05
57,239179,249545,165834,0.343909916,0.051751149,325000,0,0.05
58,244869,24196,41260,3.311745743,0.194209889,325000,0,0.05
59,46503,180181,36671,1.545651317,0.75944752,325000,0,0.05
60,47066,177841,188957,1.562822971,0.147088491,325000,0,0.05
61,122387,263661,16958,0.768460258,1.194793018,325000,0,0.05
62,248516,12757,135031,5.995453477,0.056641808,325000,0,0.05
63,87218,90242,127921,2.634937169,0.185881911,325000,0,0.05
64,324515,249996,199719,0.001940031,0.000242841,325000,0,0.05
65,22512,14185,78075,21.32449771,0.387432597,325000,0,0.05
66,150172,175171,30447,0.998041913,0.574204355,325000,0,0.05
67,242129,53795,51573,1.540496329,0.160686793,325000,0,0.05
68,128264,263305,130433,0.747179127,0.150832995,325000,0,0.05
69,58167,288203,130908,0.925850876,0.203832462,325000,0,0.05
70,270949,79499,37212,0.679895345,0.145251532,325000,0,0.05
71,190788,160600,109675,0.835691158,0.122372464,325000,0,0.05
72,156462,299619,181091,0.562507718,0.093068126,325000,0,0.05
73,311139,183140,160320,0.075685268,0.008645833,325000,0,0.05
74,172611,271276,30909,0.56174892,0.493024685,325000,0,0.05
75,299960,259371,71628,0.096541248,0.034958396,325000,0,0.05
76,153637,209998,10067,0.816022057,1.702225092,325000,0,0.05
77,239871,144369,137902,0.589662601,0.061731519,325000,0,0.05
78,105031,180673,128731,1.217497911,0.170874925,325000,0,0.05
79,269308,36102,173441,1.542629217,0.032110055,325000,0,0.05
80,265873,96273,40085,0.614159733,0.147504054,325000,0,0.05
81,293566,221987,116621,0.141602887,0.026953979,325000,0,0.05
82,263899,226826,162776,0.269373881,0.03753686,325000,0,0.05
83,296845,66657,84543,0.422386246,0.03330258,325000,0,0.05
84,298315,17560,114914,1.519646925,0.023221714,325000,0,0.05
85,43861,148252,71877,1.896358902,0.391139029,325000,0,0.05
86,173480,8104,62331,18.69693978,0.243089314,325000,0,0.05
87,222364,210661,161445,0.487209308,0.063573353,325000,0,0.05
88,126210,314336,50318,0.63241245,0.395067372,325000,0,0.05
89,88817,148389,80890,1.591647629,0.291980467,325000,0,0.05
90,244441,180960,178660,0.445175729,0.045090675,325000,0,0.05
91,91345,124772,173152,1.872655724,0.134942132,325000,0,0.05
92,143003,74660,31037,2.437677471,0.586387215,325000,0,0.05
93,78494,201144,87907,1.225520025,0.280416804,325000,0,0.05
94,3859,308912,109166,1.039587326,0.294176758,325000,0,0.05
95,324289,6426,103770,0.110644258,0.000685169,325000,0,0.05
96,89736,42364,120737,5.553394391,0.194856589,325000,0,0.05
97,91660,143649,118330,1.624376083,0.197194287,325000,0,0.05
98,222706,187851,146268,0.544548605,0.069936008,325000,0,0.05
99,217329,97870,70803,1.100143047,0.15207124,325000,0,0.05
100,218744,312677,54624,0.339826722,0.194522554,325000,0,0.05
101,252562,114323,39757,0.63362578,0.182201876,325000,0,0.05
102,194797,253804,93085,0.513006099,0.139875383,325000,0,0.05
103,225463,239808,159286,0.415069556,0.062489484,325000,0,0.05
104,132247,70811,139595,2.722077078,0.13808016,325000,0,0.05
105,84590,14150,127311,16.99010601,0.188836786,325000,0,0.05
106,142971,185843,49662,0.979477301,0.366535782,325000,0,0.05
107,49960,225633,147337,1.218970629,0.186674087,325000,0,0.05
108,268246,56691,70339,1.001111288,0.08068639,325000,0,0.05
109,17794,198811,79980,1.545216311,0.384103526,325000,0,0.05
110,310609,5445,100176,2.642975207,0.014365716,325000,0,0.05
111,24759,133877,191523,2.242663041,0.156764984,325000,0,0.05
112,100509,283939,115097,0.790631086,0.195045049,325000,0,0.05
113,277195,15555,32124,3.073288332,0.148813971,325000,0,0.05
114,102918,118323,89514,1.876913195,0.248097504,325000,0,0.05
115,18707,316249,107430,0.968518478,0.285109374,325000,0,0.05
116,187993,98954,148298,1.384552418,0.092386276,325000,0,0.05
117,173484,226269,40788,0.669627744,0.371472002,325000,0,0.05
118,99658,148281,51013,1.519695713,0.44173446,325000,0,0.05
119,71202,147005,120276,1.726458284,0.211013003,325000,0,0.05
120,173191,198079,145194,0.766406333,0.104555973,325000,0,0.05
121,294985,29254,115935,1.026013537,0.025889507,325000,0,0.05
122,192818,206057,32689,0.641482697,0.404362324,325000,0,0.05
123,71476,46720,161802,5.426455479,0.156687804,325000,0,0.05
124,156454,223661,81328,0.75357796,0.207242278,325000,0,0.05
125,133664,180051,28477,1.062676686,0.671896618,325000,0,0.05
126,199180,144909,152382,0.868269052,0.082568807,325000,0,0.05
127,151401,88626,66161,1.958781847,0.262388718,325000,0,0.05
128,61023,265240,1178,0.995238275,22.40891341,325000,0,0.05
129,308969,138990,131970,0.115339233,0.012147458,325000,0,0.05
130,70938,76278,4832,3.330737565,5.257905629,325000,0,0.05
131,138242,267510,85618,0.698134649,0.218129365,325000,0,0.05
132,219096,66205,188287,1.59963749,0.05624605,325000,0,0.05
133,232267,85933,57481,1.079131416,0.161328091,325000,0,0.05
134,32980,93279,116424,3.130608175,0.250824572,325000,0,0.05
135,67235,3280,44191,78.58689024,0.583297504,325000,0,0.05
136,193295,177051,17091,0.743881706,0.770610263,325000,0,0.05
137,282931,101957,121706,0.412615122,0.034566085,325000,0,0.05
138,225805,176869,28018,0.560838813,0.35404026,325000,0,0.05
139,151795,16867,38549,10.2688682,0.449311266,325000,0,0.05
140,5390,210298,54156,1.519795718,0.590165448,325000,0,0.05
141,172912,224931,82930,0.676154021,0.183393223,325000,0,0.05
142,216705,31480,16148,3.440120712,0.670640327,325000,0,0.05
143,276346,144672,57470,0.336305574,0.084659823,325000,0,0.05
144,163373,181592,74403,0.890055729,0.217231832,325000,0,0.05
145,23931,66867,92032,4.502504973,0.327135127,325000,0,0.05
146,207759,265275,196216,0.44196023,0.059750989,325000,0,0.05
147,43500,77365,112968,3.638596264,0.24918561,325000,0,0.05
148,303433,13169,141291,1.637709773,0.015264242,325000,0,0.05
149,211327,256710,164550,0.442807059,0.06908113,325000,0,0.05
150,82391,106557,131297,2.27680021,0.184778784,325000,0,0.05
151,112894,214546,112473,0.988627148,0.188583927,325000,0,0.05
152,198915,202555,193997,0.622472909,0.064993273,325000,0,0.05
153,208383,170158,100040,0.685345385,0.116570372,325000,0,0.05
154,304926,106214,51766,0.188995801,0.038778349,325000,0,0.05
155,72110,174796,20187,1.446772237,1.25273691,325000,0,0.05
156,130024,182516,117755,1.068267987,0.165577682,325000,0,0.05
157,150977,91017,191619,1.911983476,0.090817195,325000,0,0.05
158,31191,93640,24044,3.137644169,1.2219639,325000,0,0.05
159,298251,67071,168805,0.39881618,0.015846095,325000,0,0.05
160,180080,39834,141145,3.638098107,0.102674555,325000,0,0.05
161,85471,130651,198466,1.833349917,0.120690194,325000,0,0.05
162,212319,309052,101991,0.364602073,0.110481317,325000,0,0.05
163,105723,226546,98108,0.967913801,0.223505728,325000,0,0.05
164,238915,250374,109658,0.343825637,0.078503164,325000,0,0.05
165,85794,122199,33165,1.957511927,0.721260365,325000,0,0.05
166,137103,187020,71702,1.004689338,0.262052662,325000,0,0.05
167,131831,184156,77868,1.048942201,0.248072379,325000,0,0.05
168,322679,183223,195403,0.012667624,0.001187802,325000,0,0.05
169,74187,46382,18094,5.407550343,1.386166685,325000,0,0.05
170,634,127039,23149,2.553278914,1.401209555,325000,0,0.05
171,21447,120902,103572,2.510735968,0.293084038,325000,0,0.05
172,45542,134010,125707,2.085351839,0.22230902,325000,0,0.05
173,25914,65553,143580,4.562506674,0.208306171,325000,0,0.05
174,287114,290788,17331,0.130287357,0.218602504,325000,0,0.05
175,80250,176898,143645,1.383565671,0.170385325,325000,0,0.05
176,203284,193664,190594,0.628490582,0.063861402,325000,0,0.05
177,300036,202817,189867,0.123086329,0.013148151,325000,0,0.05
178,260765,282893,31287,0.22706465,0.205308914,325000,0,0.05
179,49514,193246,167245,1.425571551,0.164720022,325000,0,0.05
180,160349,72238,41525,2.279285141,0.396510536,325000,0,0.05
181,137238,316860,12869,0.592570851,1.459025565,325000,0,0.05
182,162440,28770,183193,5.650330205,0.088737015,325000,0,0.05
183,78560,51521,30050,4.78329225,0.820099834,325000,0,0.05
184,107217,228492,153290,0.953131838,0.142072542,325000,0,0.05
185,157863,142760,177157,1.170755113,0.094344,325000,0,0.05
186,123357,115829,144247,1.740868004,0.139790082,325000,0,0.05
187,285642,282435,82538,0.139352417,0.047684703,325000,0,0.05
188,107564,145391,179913,1.495525858,0.120856192,325000,0,0.05
189,310472,24594,196463,0.590713182,0.007394777,325000,0,0.05
190,41002,221449,11287,1.282453296,2.516151325,325000,0,0.05
191,119761,176368,121143,1.163697496,0.169418786,325000,0,0.05
192,297836,178039,124385,0.152573313,0.021838646,325000,0,0.05
193,83701,3480,37396,69.3387931,0.645253503,325000,0,0.05
194,186448,121473,15102,1.140599145,0.917441398,325000,0,0.05
195,222990,125978,95233,0.809744559,0.107116231,325000,0,0.05
196,38514,234319,199722,1.222632394,0.143442385,325000,0,0.05
197,306752,32530,102648,0.560959115,0.017777258,325000,0,0.05
198,92500,57318,126225,4.056317387,0.18419489,325000,0,0.05
199,48154,41266,121505,6.708815974,0.227847414,325000,0,0.05
200,209479,315014,124133,0.366717035,0.09306228,325000,0,0.05
201,183927,76661,183340,1.840218625,0.076946111,325000,0,0.05
202,271655,251793,127830,0.211860536,0.041731206,325000,0,0.05
203,66597,13508,145769,19.12962689,0.177268829,325000,0,0.05
204,318641,204641,122914,0.031073929,0.005173536,325000,0,0.05
205,182135,120988,83641,1.180819585,0.170807379,325000,0,0.05
206,275298,26348,19054,1.886367087,0.260848116,325000,0,0.05
207,258168,147862,71127,0.451989017,0.093961505,325000,0,0.05
208,95825,131529,141357,1.742391412,0.162124974,325000,0,0.05
209,224295,290575,154256,0.346571453,0.065284333,325000,0,0.05
210,279328,279425,169970,0.163449942,0.026870624,325000,0,0.05
211,19459,163322,84609,1.870788994,0.361121157,325000,0,0.05
212,85198,32264,101149,7.432494421,0.237077974,325000,0,0.05
213,124517,291263,164714,0.688322925,0.121715823,325000,0,0.05
214,12793,129417,141178,2.412411043,0.221144229,325000,0,0.05
215,74284,92588,21434,2.70786711,1.169711673,325000,0,0.05
216,205016,274980,109292,0.436337188,0.109782967,325000,0,0.05
217,83457,303746,193594,0.795213764,0.124767813,325000,0,0.05
218,14566,134353,61535,2.310584803,0.504483627,325000,0,0.05
219,27058,226895,160652,1.313127217,0.185458009,325000,0,0.05
220,80517,236537,1818,1.033593053,13.44790979,325000,0,0.05
221,64074,169253,182144,1.54163294,0.143252591,325000,0,0.05
222,298577,126723,33607,0.2085099,0.078623501,325000,0,0.05
223,222837,217449,165690,0.469825108,0.061659122,325000,0,0.05
224,138472,203041,24655,0.918671598,0.756552423,325000,0,0.05
225,127979,19485,100296,10.11141904,0.196439539,325000,0,0.05
226,80822,66050,86395,3.696866011,0.282629782,325000,0,0.05
227,161386,126851,131355,1.289812457,0.124558639,325000,0,0.05
228,72727,281996,101017,0.894597796,0.249733213,325000,0,0.05
229,73201,303625,128511,0.829309181,0.195935756,325000,0,0.05
230,260970,214698,30689,0.298232867,0.208641533,325000,0,0.05
231,252810,240777,138268,0.299820996,0.0522102,325000,0,0.05
232,258388,275048,197707,0.242183183,0.033692282,325000,0,0.05
233,143366,307679,35820,0.590336032,0.50707426,325000,0,0.05
234,210210,109513,123199,1.04818606,0.093174458,325000,0,0.05
235,161089,215992,44571,0.758875329,0.367752575,325000,0,0.05
236,172374,46082,18854,3.312052428,0.809515222,325000,0,0.05
237,161428,153911,138211,1.062770042,0.11834948,325000,0,0.05
238,274790,130640,106082,0.384338641,0.04733131,325000,0,0.05
239,138080,7481,102693,24.98596444,0.182018249,325000,0,0.05
240,91361,151846,6677,1.538657587,3.4991613,325000,0,0.05
241,107291,125296,143932,1.737557464,0.151258233,325000,0,0.05
242,235037,68046,170310,1.322090938,0.052823087,325000,0,0.05
243,36030,36169,154453,7.989438469,0.187092514,325000,0,0.05
244,58062,65948,70314,4.047704252,0.379637057,325000,0,0.05
245,50542,307874,47514,0.891462092,0.577636065,325000,0,0.05
246,289699,155485,43240,0.227037978,0.081639685,325000,0,0.05
247,115486,39165,61255,5.349521256,0.342035752,325000,0,0.05
248,99001,134119,175423,1.685063265,0.128830883,325000,0,0.05
249,11368,184214,46842,1.702541609,0.669552965,325000,0,0.05
250,192166,16332,161212,8.133357825,0.082397092,325000,0,0.05
251,122799,195767,155698,1.0328656,0.129867436,325000,0,0.05
252,76477,222676,138507,1.116074476,0.179429921,325000,0,0.05
253,2071,187784,28698,1.719683253,1.125266569,325000,0,0.05
254,35201,172034,128238,1.684544916,0.225985277,325000,0,0.05
255,221071,78261,102579,1.327979453,0.101316059,325000,0,0.05
256,25229,5760,49173,52.04357639,0.609625201,325000,0,0.05
257,217864,273863,87310,0.391202901,0.122707594,325000,0,0.05
258,62820,80258,65890,3.266714845,0.3979056,325000,0,0.05
259,64222,153447,154703,1.699466265,0.168566867,325000,0,0.05
260,167145,127273,96693,1.240286628,0.163253803,325000,0,0.05
261,233155,250576,38078,0.366535502,0.241202269,325000,0,0.05
262,17525,307097,96361,1.001230881,0.31908656,325000,0,0.05
263,38608,134177,172496,2.134434367,0.166028198,325000,0,0.05
264,247489,145612,176381,0.532311897,0.04394521,325000,0,0.05
265,110028,58483,69649,3.675803225,0.308650519,325000,0,0.05
266,89038,199731,90026,1.181398982,0.262104281,325000,0,0.05
267,307298,302875,73463,0.058446554,0.024096484,325000,0,0.05
268,261910,140846,61943,0.447936044,0.101851702,325000,0,0.05
269,312799,259313,136257,0.047051247,0.008954402,325000,0,0.05
270,281579,40437,93190,1.073793803,0.046594055,325000,0,0.05
271,221386,144150,157485,0.718792924,0.065792933,325000,0,0.05
272,290193,146753,143085,0.237180841,0.0243261,325000,0,0.05
273,199723,90302,187811,1.387311466,0.066703761,325000,0,0.05
274,272346,129527,14417,0.40650984,0.365221613,325000,0,0.05
275,164045,273258,84537,0.589022096,0.190395921,325000,0,0.05
276,316694,120548,32793,0.068902014,0.025328576,325000,0,0.05
277,197565,1111,45486,114.7029703,0.280163127,325000,0,0.05
278,106022,25700,85234,8.520544747,0.256913908,325000,0,0.05
279,231702,202816,180356,0.460013017,0.051729912,325000,0,0.05
280,219398,252409,48066,0.418376524,0.219702076,325000,0,0.05
281,123723,1717,134245,117.2259755,0.149932586,325000,0,0.05
282,177659,54866,141545,2.685470054,0.104094811,325000,0,0.05
283,90905,119977,164987,1.95116564,0.141886937,325000,0,0.05
284,104079,125540,90511,1.759765812,0.244081935,325000,0,0.05
285,170677,79585,165683,1.939096563,0.093143533,325000,0,0.05
286,100736,245273,21799,0.914344424,1.028781137,325000,0,0.05
287,314734,66464,28199,0.154459557,0.036405546,325000,0,0.05
288,175751,227109,183874,0.657169025,0.08116917,325000,0,0.05
289,135452,300838,181393,0.63006668,0.104495763,325000,0,0.05
290,66056,192287,32243,1.3466537,0.803101448,325000,0,0.05
291,313134,31380,39699,0.378138942,0.029889922,325000,0,0.05
292,115855,257197,57034,0.813170449,0.366702318,325000,0,0.05
293,245382,257589,37337,0.309089286,0.213241557,325000,0,0.05
294,190027,318397,172807,0.42391417,0.078106211,325000,0,0.05
295,175728,102661,195847,1.454028307,0.076218681,325000,0,0.05
296,323097,200873,46509,0.009473648,0.004091681,325000,0,0.05
297,131464,140290,76088,1.379542377,0.254358112,325000,0,0.05
298,180965,194139,77260,0.741916874,0.186428941,325000,0,0.05
299,123834,45007,93010,4.469660275,0.216284271,325000,0,0.05
300,186217,85430,176374,1.624523001,0.078686768,325000,0,0.05
301,299836,22169,136333,1.135098561,0.018457747,325000,0,0.05
302,286546,60070,108803,0.640153155,0.035342775,325000,0,0.05
303,273188,125106,129273,0.414144805,0.040079522,325000,0,0.05
304,172084,125429,11459,1.219143898,1.334461995,325000,0,0.05
305,151003,314508,178793,0.55323553,0.097317568,325000,0,0.05
306,50,71687,94461,4.532899968,0.344004404,325000,0,0.05
307,279418,309170,183894,0.147433451,0.024787106,325000,0,0.05
308,30044,309641,134482,0.95257411,0.219327494,325000,0,0.05
309,152629,297686,180697,0.5790363,0.095392287,325000,0,0.05
310,31840,118927,79763,2.46504158,0.367538834,325000,0,0.05
311,78685,192960,144787,1.276508085,0.170122318,325000,0,0.05
312,271152,134420,188761,0.40059515,0.028527079,325000,0,0.05
313,123788,175738,167821,1.144954421,0.119896795,325000,0,0.05
314,276545,174809,64403,0.277188245,0.075237178,325000,0,0.05
315,23913,52169,126568,5.771377638,0.237885563,325000,0,0.05
316,211895,80533,101102,1.404455316,0.111872169,325000,0,0.05
317,259425,117256,94057,0.559246435,0.069718362,325000,0,0.05
318,295960,284931,151856,0.101919412,0.01912338,325000,0,0.05
319,298296,107606,33799,0.2481646,0.079008255,325000,0,0.05
320,170999,290811,74657,0.529556998,0.206278045,325000,0,0.05
321,181082,324675,3742,0.443267883,3.846018172,325000,0,0.05
322,148309,185255,166489,0.953771828,0.106127732,325000,0,0.05
323,29176,100667,111114,2.938639276,0.266234678,325000,0,0.05
324,307383,157096,170375,0.11214162,0.010340132,325000,0,0.05
325,110976,315352,186372,0.678682869,0.114836993,325000,0,0.05
326,45625,230532,158111,1.211870803,0.176695486,325000,0,0.05
327,10622,17062,72549,18.42562419,0.433331955,325000,0,0.05
328,192680,141481,51243,0.935249256,0.258220635,325000,0,0.05
329,282481,181532,58089,0.234223167,0.073196302,325000,0,0.05
330,169002,286505,143900,0.544486135,0.108407227,325000,0,0.05
331,272741,224184,17683,0.233107626,0.295532432,325000,0,0.05
332,206443,268160,165227,0.442112918,0.071754011,325000,0,0.05
333,203252,179983,148880,0.676441664,0.081775927,325000,0,0.05
334,190946,79868,23366,1.678444433,0.573713943,325000,0,0.05
335,304990,195928,126240,0.102129354,0.01585076,325000,0,0.05
336,234606,324201,146403,0.278820855,0.06174327,325000,0,0.05
337,301883,167433,190651,0.138067167,0.012125297,325000,0,0.05
338,28970,27220,101919,10.87545922,0.290456147,325000,0,0.05
339,302236,85618,183396,0.26587867,0.012412484,325000,0,0.05
340,153414,301565,167735,0.568985128,0.102295883,325000,0,0.05
341,112452,138363,149408,1.536162124,0.14226012,325000,0,0.05
342,213665,128465,98485,0.866656288,0.113047672,325000,0,0.05
343,112851,127381,160402,1.665468162,0.13226082,325000,0,0.05
344,30563,68875,166728,4.274947368,0.176597212,325000,0,0.05
345,89902,267871,143237,0.877653796,0.164132173,325000,0,0.05
346,96477,208872,21291,1.094081543,1.073331455,325000,0,0.05
347,163235,65218,186558,2.480373517,0.086710299,325000,0,0.05
348,40402,38258,77571,7.438914737,0.36688711,325000,0,0.05
349,50086,222805,164153,1.233877157,0.167474247,325000,0,0.05
350,13100,207034,177202,1.506515838,0.176013815,325000,0,0.05
351,35425,29018,189046,9.979150872,0.153177005,325000,0,0.05
352,142251,288157,110880,0.634199412,0.164816919,325000,0,0.05
353,290602,163107,77964,0.210892236,0.044120363,325000,0,0.05
354,43389,140138,128304,2.009526324,0.219487311,325000,0,0.05
355,310143,90377,72096,0.16438917,0.020607246,325000,0,0.05
356,261618,315935,155305,0.200617216,0.040811307,325000,0,0.05
357,262166,55157,113241,1.13918451,0.05548697,325000,0,0.05
358,100936,271954,169183,0.823904043,0.132438838,325000,0,0.05
359,89899,318125,67422,0.739020825,0.348700721,325000,0,0.05
360,307674,11224,7379,1.54365645,0.234801464,325000,0,0.05
361,207799,315340,149846,0.371665504,0.0782143,325000,0,0.05
362,65791,93454,41601,2.773653348,0.62308358,325000,0,0.05
363,312751,323521,100105,0.03786153,0.012236152,325000,0,0.05
364,177093,32262,98643,4.584557684,0.149941709,325000,0,0.05
365,2630,134112,112701,2.403737175,0.286040053,325000,0,0.05
366,106273,44412,169641,4.924952715,0.128935222,325000,0,0.05
367,89175,50235,50964,4.69443615,0.462728593,325000,0,0.05
368,251450,157275,128068,0.467652202,0.057430428,325000,0,0.05
369,305830,293672,55666,0.065276908,0.034437538,325000,0,0.05
370,94752,160673,56845,1.43302235,0.405045299,325000,0,0.05
371,184575,166627,118166,0.842750575,0.11883706,325000,0,0.05
372,127157,283295,101510,0.698363896,0.19490001,325000,0,0.05
373,39908,295273,116547,0.965520044,0.244615477,325000,0,0.05
374,200005,87156,140837,1.434152554,0.088751535,325000,0,0.05
375,244472,231321,164634,0.348122306,0.048913347,325000,0,0.05
376,97284,86405,97774,2.635449337,0.232900362,325000,0,0.05
377,86440,189854,12731,1.256544503,1.873851229,325000,0,0.05
378,259767,105344,57816,0.619237925,0.112828629,325000,0,0.05
379,15184,225281,83448,1.375242475,0.371268335,325000,0,0.05
380,217269,295640,35881,0.364399269,0.300245255,325000,0,0.05
381,167106,318042,193560,0.496456443,0.081573672,325000,0,0.05
382,78649,251240,100968,0.980540519,0.243989185,325000,0,0.05
383,79270,241768,55799,1.016387611,0.440384236,325000,0,0.05
384,311857,192599,92750,0.06824023,0.01417035,325000,0,0.05
385,181707,314066,115330,0.456251234,0.124246076,325000,0,0.05
386,183213,130750,9000,1.084413002,1.575411111,325000,0,0.05
387,228436,300670,65326,0.321162737,0.147818633,325000,0,0.05
388,48582,82734,85552,3.341044794,0.323099402,325000,0,0.05
389,110121,133371,145441,1.611137354,0.147743071,325000,0,0.05
390,142832,242817,75806,0.750227538,0.240308155,325000,0,0.05
391,139108,87941,186784,2.113826315,0.099522443,325000,0,0.05
392,85180,119115,154806,2.013348445,0.154916476,325000,0,0.05
393,222393,69870,191828,1.468541577,0.053489063,325000,0,0.05
394,245201,84813,134457,0.940881704,0.059349086,325000,0,0.05
395,287298,50815,37953,0.741946276,0.099338656,325000,0,0.05
396,244153,98852,66443,0.817859022,0.121678732,325000,0,0.05
397,168857,194303,38672,0.803605709,0.403762412,325000,0,0.05
398,213685,20213,108989,5.507099391,0.10213416,325000,0,0.05
399,176649,37438,46265,3.962578129,0.320654923,325000,0,0.05
400,171973,57349,53777,2.66834644,0.284558454,325000,0,0.05
401,156064,230794,181846,0.731977434,0.092900586,325000,0,0.05
402,238857,103782,11806,0.830037964,0.729654413,325000,0,0.05
403,277658,266043,126147,0.177948677,0.037529232,325000,0,0.05
404,70884,175068,146511,1.451527406,0.173444997,325000,0,0.05
405,218090,149373,123994,0.715725064,0.086221914,325000,0,0.05
406,288578,124326,67665,0.292955617,0.053826942,325000,0,0.05
407,206677,179676,62382,0.658535364,0.189674906,325000,0,0.05
408,181012,240931,161050,0.597631687,0.089405775,325000,0,0.05
409,127511,282347,6687,0.699454926,2.953327352,325000,0,0.05
410,283984,78744,31728,0.520877781,0.129273828,325000,0,0.05
411,287672,195896,53177,0.190550088,0.070195761,325000,0,0.05
412,92092,304197,11604,0.765648576,2.007135471,325000,0,0.05
413,88022,115590,69233,2.050160048,0.342290526,325000,0,0.05
414,179833,263696,46515,0.550508919,0.312086424,325000,0,0.05
415,169619,257401,39392,0.603653443,0.394448111,325000,0,0.05
416,303012,240987,195739,0.091241436,0.011233326,325000,0,0.05
417,307962,174451,41113,0.097666393,0.04144188,325000,0,0.05
418,35568,109038,186782,2.654414057,0.154957116,325000,0,0.05
419,18273,214609,63045,1.429236425,0.486520739,325000,0,0.05
420,66517,150814,155450,1.713919132,0.166280476,325000,0,0.05
421,53735,288385,166941,0.940634915,0.162491539,325000,0,0.05
422,171151,112317,90675,1.369774834,0.169670802,325000,0,0.05
423,54530,203394,60685,1.329783573,0.445694982,325000,0,0.05
424,195758,92546,32463,1.396516327,0.398120938,325000,0,0.05
425,14266,155749,11583,1.995094672,2.682672883,325000,0,0.05
426,150241,112645,65783,1.551413733,0.265659821,325000,0,0.05
427,253422,37083,125270,1.930210609,0.05713898,325000,0,0.05
428,265278,146464,134743,0.407758903,0.044322896,325000,0,0.05
429,78636,130733,76586,1.884482112,0.321682814,325000,0,0.05
430,258621,107418,71903,0.617950437,0.092317428,325000,0,0.05
431,67190,151721,6878,1.699237416,3.748328002,325000,0,0.05
432,13211,30867,18238,10.10104642,1.709556969,325000,0,0.05
433,104664,236450,89021,0.931850285,0.247510138,325000,0,0.05
434,150316,322213,138953,0.542138275,0.12571445,325000,0,0.05
435,77196,165918,62763,1.49353295,0.394824976,325000,0,0.05
436,236433,291546,156737,0.303783965,0.05650676,325000,0,0.05
